entry_id,neighborhood,district,total_population,foreign_population,spanish_population,elderly_population,young_population,female_population,density_2023,total_population_growth_1y,foreign_population_growth_1y,spanish_population_growth_1y,elderly_population_growth_1y,young_population_growth_1y,female_population_growth_1y,density_2022,total_population_growth_3y,foreign_population_growth_3y,spanish_population_growth_3y,elderly_population_growth_3y,young_population_growth_3y,female_population_growth_3y,density_2020,total_population_growth_5y,foreign_population_growth_5y,spanish_population_growth_5y,elderly_population_growth_5y,young_population_growth_5y,female_population_growth_5y,density_2018,number_transactions,number_transactions_new,number_transactions_social,number_transactions_used,total_transactions_growth_1y,total_transactions_growth_3y,total_transactions_growth_5y,average_loan_amount,interest_rate,average_period_mortgage,average_size_ongoing_transaction,tenancy_days,residential_real_estates,average_built_area,average_construction_year,total_rent_portal_03_23,total_price_portal_03_23,total_price_portal,total_price_portal_growth_5y,total_price_portal_growth_3y,total_price_portal_growth_1y,total_price_register,new_price_register,used_price_register,price_official_internal_index,total_price_register_growth_5y,new_price_register_growth_5y,used_price_register_growth_5y,total_price_register_growth_3y,new_price_register_growth_3y,used_price_register_growth_3y,total_price_register_growth_1y,new_price_register_growth_1y,used_price_register_growth_1y,IVBSI_2022,IVMAUM_2022,IVEC_2022,IVEE_2022,IVS_2022,IVBSI_2021,IVMAUM_2021,IVEC_2021,IVEE_2021,IVS_2021
46,083. Peñagrande,08. Fuencarral-El Pardo,"44,341","3,749","40,592",0.27,0.13,0.54,153.5725418,0.01,0.09,0.00,0.27,0.13,0.01,152,-0.01,0.00,-0.01,26.10,13,-0.01,155.64,-0.002,0.147,-0.013,25.040,13.150,0.002,153.820,562,88,6,468,0.35,0.62,0.37,286566.63,2.11,313,114.48,6146.37,19736,121,1981,15.2,"3,958","3,838",0.149,0.169,0.094,"3,993","4,379","3,913",102.37,0.41,0.23,0.44,0.16,0.55,0.12,0.12,0.29,0.09,5.51,6.3,5.2,5.24,6.26,5.95,5.62,5.3,5.14,6.19
47,084. Pilar,08. Fuencarral-El Pardo,"45,610","6,176","39,433",0.29,0.11,0.55,334.5803991,0.01,0.11,-0.01,0.29,0.11,0.01,332.70,-0.03,0.07,-0.04,28.93,11,-0.02,343.71,-0.011,0.271,-0.044,29.490,10.860,-0.004,338.130,480,101,10,369,0.03,0.55,0.26,171403.56,1.82,311,64.91,2493.22,21494,80,1969,16.8,"3,667","3,592",0.289,0.087,0.094,"3,788","3,682","3,819",97.12,0.42,0.41,0.42,0.10,0.10,0.10,0.10,0.09,0.11,5.43,7.07,5.74,6.03,6.97,5.65,6.24,5.83,5.88,7.13
48,085. La Paz,08. Fuencarral-El Pardo,"32,192","1,771","30,421",0.36,0.11,0.54,149.3966957,0.00,0.04,-0.01,0.36,0.11,0.00,150.11,-0.04,-0.04,-0.04,33.04,11,-0.04,156.14,-0.047,0.092,-0.054,30.740,10.890,-0.041,156.780,229,7,0,222,0.13,0.51,0.22,267020.69,1.9,311,106.45,6999.63,13546,128,1980,13.5,"4,195","3,955",0.153,0.105,0.054,"3,970",0,"3,981",101.78,0.36,-1.00,0.32,0.09,0.00,0.08,0.08,0.00,0.08,4.79,5.31,4.53,4.17,7.06,5.57,4.55,4.62,4.23,7.44
49,086. Valverde,08. Fuencarral-El Pardo,"64,757","9,196","55,560",0.12,0.21,0.52,72.10283704,0.02,0.15,0.00,0.12,0.23,0.02,70.87,0.00,0.12,-0.02,11.65,24,0.00,72,0.045,0.376,0.005,11.770,24.380,0.044,68.970,661,187,62,412,-0.07,0.09,-0.14,237368.44,2.17,312,82.92,5630.97,27165,117,1991,14,"3,496","3,463",0.159,0.000,0.024,"4,004","4,673","3,656",102.65,0.19,0.27,0.31,0.15,0.20,0.13,-0.09,-0.09,0.02,6.55,5.38,4.84,6.55,7.22,7.17,4.9,4.94,6.27,7.48
50,087. Mirasierra,08. Fuencarral-El Pardo,"35,676","1,851","33,825",0.16,0.22,0.52,51.01819014,0.01,0.04,0.01,0.15,0.22,0.01,50.39,0.05,0.04,0.05,14.74,22,0.04,48.69,0.113,0.197,0.109,14.420,21.550,0.107,45.840,312,128,2,182,-0.23,-0.32,-0.44,395663.27,2.02,318,138.11,7101.12,12942,188,1996,13.3,"4,611","4,290",0.189,0.177,0.139,"4,282","3,345","5,061",109.77,0.38,0.16,0.39,0.38,0.24,0.17,-0.04,-0.22,0.09,6.13,6.1,4.17,4.28,6.9,6.2,5.3,4.26,4.33,7.05
51,088. El Goloso,08. Fuencarral-El Pardo,"19,036","1,189","17,847",0.09,0.29,0.51,7.185267107,0.00,0.00,0.00,0.08,0.30,0.00,7.20,0.00,0.03,0.00,7.67,32,0.00,7.19,0.061,0.318,0.047,8.190,33.280,0.061,6.780,167,54,49,64,0.06,-0.02,-0.50,286392.72,2.02,304,101.23,3716.2,6957,149,2007,,,"4,721",0.000,0.032,0.000,"5,565","5,413","5,842",142.68,0.33,0.57,0.29,0.06,0.00,0.20,0.04,0.04,0.04,9.32,8.3,4.24,4.37,6.82,9.71,7.37,4.32,4.22,6.57
52,091. Casa de Campo,09. Moncloa-Aravaca,"12,767","1,157","11,610",0.26,0.10,0.53,7.311890771,0.00,0.02,-0.01,0.26,0.10,-0.01,7.33,-0.03,-0.10,-0.03,24.92,10,-0.04,7.56,-0.010,0.117,-0.021,24.910,10.290,-0.022,7.390,130,26,0,104,0.03,0.20,-0.03,209277.92,2.01,294,84.07,11618.23,6358,99,1969,17.6,,"4,227",0.000,0.000,0.071,"4,135","4,081","4,148",106,0.46,0.57,0.39,0.24,0.00,0.21,0.10,0.27,0.06,7.22,2.85,4.28,4.67,16.51,7.34,4.2,4.46,4.63,18.95
53,092. Argüelles,09. Moncloa-Aravaca,"24,497","3,959","20,538",0.24,0.10,0.54,323.3927393,0.01,0.08,0.00,0.25,0.10,0.01,319,0.00,0.18,-0.03,24.70,10,0.00,322.40,0.021,0.396,-0.029,25.200,10.050,0.014,316.710,359,107,2,250,-0.05,0.53,-0.06,384061.48,1.95,281,101.22,10519.67,12939,129,1950,20.6,"5,713","5,419",0.197,0.093,0.120,"5,856","6,644","5,536",150.14,0.47,0.79,0.34,0.22,0.36,0.16,-0.03,-0.12,0.15,4.97,25.89,3.8,5.62,7.11,5.25,23.84,3.97,5.57,5.97
54,093. Ciudad Universitaria,09. Moncloa-Aravaca,"16,364","1,630","14,734",0.26,0.13,0.54,11.48278354,0.01,0.05,0.00,0.26,0.13,0.00,11.38,0.00,-0.01,0.00,25.29,12,-0.02,11.50,0.017,0.086,0.009,25.480,12.750,-0.003,11.300,159,10,0,149,0.11,0.57,0.00,425132.45,2.21,324,156.24,7704.12,7449,215,1973,18,"4,396","4,224",0.217,0.157,0.095,"4,486",0,"4,452",115.02,0.32,0.00,0.30,0.03,0.00,0.02,0.04,-1.00,0.11,5.42,4.6,5.83,4.65,7.55,5.41,4.91,5.92,4.73,7.9
55,094. Valdezarza,09. Moncloa-Aravaca,"30,484","3,939","26,545",0.25,0.13,0.54,218.1323792,0.02,0.13,0.01,0.25,0.13,0.02,213.26,0.00,0.08,-0.01,24.76,13,0.00,217.57,0.036,0.286,0.007,24.990,12.610,0.033,210.510,351,41,0,310,0.13,0.19,0.08,198962.59,2.23,316,72.49,9562.15,14549,88,1969,16.1,"3,532","3,224",0.288,0.079,0.085,"3,239","3,735","3,174",83.04,0.32,0.21,0.36,0.02,-0.02,0.05,0.08,0.00,0.07,5.36,6.81,4.94,5.79,7.48,5.78,8.17,5.11,5.86,6.95
56,095. Valdemarín,09. Moncloa-Aravaca,"7,156",628,"6,528",0.12,0.24,0.53,21.66843301,0.02,0.02,0.02,0.11,0.25,0.01,21.34,0.03,-0.06,0.04,11.18,27,0.02,21.07,0.091,0.011,0.099,10.620,28.460,0.078,19.860,45,4,0,41,-0.39,-0.27,-0.56,582403.73,1.87,321,175.26,3658,2600,278,2002,16.3,"5,305","4,411",0.041,0.002,0.080,"5,169",0,"5,097",132.52,0.32,0.00,0.32,0.08,0.00,0.06,0.13,0.00,0.12,8.17,5.63,5.69,5.04,6.76,8.53,4.84,5.75,5.22,7.22
57,096. El Plantío,09. Moncloa-Aravaca,"3,044",326,"2,718",0.20,0.19,0.54,8.627628819,0.02,0.01,0.02,0.19,0.19,0.01,8.50,0.09,0.23,0.07,19.72,19,0.08,7.93,0.119,0.482,0.087,19.670,19.930,0.138,7.710,21,0,0,21,-0.50,0.17,-0.16,608434.58,1.75,332,176.31,5778.74,1142,415,1987,,"3,011","2,956",0.000,0.121,0.069,"4,544",0,"4,544",116.5,0.45,0.00,0.37,0.44,0.00,0.44,0.06,0.00,0.10,6.34,4.96,3.72,4.09,9.63,8.43,4.44,5.92,4.53,8.94
58,097. Aravaca,09. Moncloa-Aravaca,"27,445","2,954","24,491",0.17,0.18,0.53,47.04319506,0.00,0.03,0.00,0.16,0.18,0.00,46.83,0.00,0.04,-0.01,15.33,20,0.00,47.14,0.050,0.213,0.033,14.430,20.810,0.058,44.820,121,3,0,118,-0.40,-0.41,-0.80,477606.35,1.89,294,155.52,3297.63,10379,209,1992,15.9,"4,437","3,925",0.026,0.049,-0.027,"4,362",0,"4,389",111.83,0.40,0.43,0.41,0.07,-1.00,0.13,0.09,0.00,0.11,5.94,6.13,3.9,4.91,6.88,5.89,5.68,4.06,5,6.99
59,101. Los Cármenes,10. Latina,"17,903","3,365","14,538",0.17,0.13,0.53,138.5681115,0.02,0.10,0.00,0.17,0.13,0.02,135.78,0.01,0.17,-0.02,16.90,14,0.01,137.28,0.041,0.458,-0.023,17.360,14.630,0.036,133.070,163,33,2,128,0.21,0.12,0.07,127543.23,2.06,294,74.79,7939.91,7453,90,1977,,"2,538","2,681",0.396,0.118,0.161,"2,673","2,699","2,665",68.52,0.51,0.44,0.55,0.08,0.03,0.10,0.08,0.07,0.09,9.53,3.66,10.78,10.51,7.36,8.94,5.5,10.64,10.6,7.07
60,102. Puerta del Ángel,10. Latina,"43,292","9,915","33,377",0.20,0.11,0.53,314.7822293,0.05,0.11,0.03,0.20,0.11,0.04,301.03,0.02,0.13,-0.01,20.48,11,0.01,308.02,0.046,0.323,-0.015,20.950,11.960,0.035,301,642,146,6,490,0.32,0.48,0.23,140610.97,2.11,303,66.55,10005.81,20151,84,1964,18.4,"3,140","2,682",0.259,0.074,0.055,"2,796","2,874","2,772",71.69,0.45,0.49,0.43,0.09,0.12,0.07,0.07,0.10,0.06,7.56,7.27,8.24,10.15,6.69,6.94,7.33,8.23,9.97,6.91
61,103. Lucero,10. Latina,"36,749","7,497","29,252",0.22,0.12,0.53,218.87433,0.02,0.13,-0.01,0.22,0.12,0.02,214.78,0.00,0.10,-0.02,22.05,12,-0.01,219.08,0.036,0.359,-0.024,22.990,12.840,0.031,211.360,405,50,1,354,0.04,0.07,0.05,124249.44,2.26,298,69.14,7831.81,16381,83,1973,15.8,"2,499","2,438",0.257,0.024,0.104,"2,408","2,434","2,404",61.74,0.41,0.41,0.41,0.08,0.12,0.07,0.05,0.00,0.06,7.15,5.99,8.56,9.3,6.78,6.57,5.9,8.51,9.21,6.5
62,104. Aluche,10. Latina,"66,588","12,678","53,909",0.29,0.11,0.54,233.6585024,0.01,0.10,-0.01,0.29,0.11,0.01,231.01,-0.01,0.07,-0.03,29.36,11,-0.01,236.57,0.010,0.281,-0.038,30.150,11.460,0.014,231.460,695,63,1,631,0.17,0.28,0.07,134102.37,2.22,312,71.81,7143.06,30286,85,1971,13.4,"2,620","2,411",0.235,0.090,0.100,"2,362","2,343","2,364",60.57,0.39,0.36,0.39,0.08,0.08,0.09,0.05,-0.01,0.06,7.14,7.17,8.71,8.71,6.12,6.25,6.78,8.65,8.63,6.5
63,105. Campamento,10. Latina,"19,750","4,764","14,985",0.23,0.12,0.54,21.48747742,0.02,0.13,-0.01,0.23,0.13,0.03,21.04,0.00,0.14,-0.04,23.37,13,0.00,21.59,0.040,0.472,-0.048,24.010,12.960,0.048,20.650,239,25,1,213,0.46,0.29,0.19,157384.95,2.03,306,73.19,7197.72,8530,90,1974,14.6,"2,736","2,481",0.273,0.109,0.164,"2,379","2,795","2,320",61.01,0.31,0.40,0.32,0.14,0.24,0.14,0.10,0.37,0.06,7.95,5.87,8.38,9.52,5.8,6.58,7.4,8.33,9.74,5.99
64,106. Cuatro Vientos,10. Latina,"6,122",643,"5,479",0.07,0.20,0.50,11.27419385,0.03,0.08,0.02,0.07,0.22,0.03,10.99,0.04,0.50,0.00,6.39,23,0.04,10.83,0.081,0.902,0.029,6.230,23.440,0.094,10.430,41,2,1,38,0.17,0.46,0.21,160551.59,2.19,317,77.34,5022.23,2318,122,2007,,,"3,568",0.000,0.000,0.000,"3,092",0,"3,097",79.28,0.37,-1.00,0.00,-0.03,0.00,-0.03,0.00,0.00,0.00,9.73,5.57,9.26,7.85,8.16,10.87,5.35,9.13,8.09,10.31
65,107. Águilas,10. Latina,"51,268","7,183","44,084",0.28,0.11,0.54,142.0323582,0.01,0.11,-0.01,0.28,0.12,0.01,141.03,-0.02,0.11,-0.03,27.59,12,-0.01,144.37,0.003,0.345,-0.037,28.240,12.130,0.008,141.570,463,37,4,422,0.20,0.15,-0.02,123310.54,2.18,311,68.96,8356.48,23169,84,1973,,"2,556","2,333",0.254,0.098,0.067,"2,351","2,440","2,342",60.28,0.40,0.63,0.36,0.05,0.03,0.08,0.09,0.13,0.09,7.05,5.49,8.99,7.77,6.52,6.43,5.21,8.92,7.67,5.93
